,undlName,text
3,SIAL.SI,singapore airlines - increased its cargo capacity into australia by 500-tonnes a week
1,SIAL.SI,"singapore airlines - seeing rising demand for capacity for both imports to, and exports from australia"
2,SIAL.SI,singapore airlines -  increase will see co operate up to 10 cargo-only flights week using passenger aircraft to sydney  melbourne
5,CATL.SI,capitaland  - launches ecommerce platform ecapitamall
4,CATL.SI,capitaland  -  launches online food ordering platform capita3eats in singapore
