,undlName,text
1,0883.HK,primeline energy - has got notification from cnooc that cnooc  ccl will set off amount due to them from primeline under award of about u.s. 30 mln
0,0883.HK,primeline energy has got notification from cnooc that cnooc  ccl will set off amount due to them from primeline under award of about u.s. 30 mln
3,0005.HK,nyse order imbalance hsbcpa.n 164538.0 shares on sell side
2,0005.HK,nyse order imbalance hsbc.n 80088.0 shares on sell side
1,9988.HK,beyond meat to sell patties in mainland china through alibaba's freshippo stores
