,undlName,text
1,0175.HK,"geely automobile - geely 's acquisition of chengdu automobile via chengbao international  co, with each  50 of chengdu"
2,0175.HK,geely automobile - geely  to acquire chengdu automobile for a net cash consideration of about rmb76.3 mln
3,0175.HK,geely automobile - co to acquire ningbo beilun for cash consideration of about rmb729.4 mln
4,0175.HK,geely automobile-zhejiang jichuang to buy ningbo jining for rmb30.5 mln
0,0175.HK,geely automobile says zhejiang jichuang to buy ningbo jining for rmb30.5 mln
13,0005.HK,2-hsbc and nokia drag european stocks lower amid virus worries
2,0005.HK,hsbc hsba.l: citigroup cuts price target to 400p from 420p
2,0066.HK,"mtr corporation limited -- moody's - hong kong mtrc issues profit warning as ridership drops 38 in h1 2020, a credit negative"
0,2333.HK,hk shares of great wall motor near 8-month high on strong june sales
10,9988.HK, alibaba hits record high as reuters reports fintech arm plans hong kong listing
5,9988.HK,alibaba's hk shares hit record high on report of fintech arm's listing plan
