,undlName,text
1,1398.HK,"1-fines, short jail terms for 4 ex-icbc spain employees in laundering case"
40,0005.HK,"hsbc resumes cutting jobs, expects headcount to reduce over medium term from 235,000 to 200,000 - memo"
17,0005.HK,hsbc etfs msci indo  - net asset values
16,0005.HK,hsbc etfs msci taiw  - net asset values
15,0005.HK,hsbc etfs msci mal   - net asset values
14,0005.HK,hsbc etfs korea cpd  - net asset values
13,0005.HK,hsbc etfs ftsend   - net asset values
12,0005.HK,hsbc etfs rssia cpd  - net asset values
11,0005.HK,hsbc etfs emer mkts  - net asset values
18,0005.HK,hsbc etfs msci ltn   - net asset values
10,0005.HK,hsbc etfs acfe xjap  - net asset values
8,0005.HK,hsbc etfs ww eq   - net asset values
7,0005.HK,hsbc etfs china in   - net asset values
6,0005.HK,hsbc etfs china in   - net asset values
5,0005.HK,hsbc etfs msci sa   - net asset values
4,0005.HK,hsbc etfs eur sus eu  - net asset values
3,0005.HK,hsbc etfs jap sus   - net asset values
2,0005.HK,hsbc etfs usa sus   - net asset values
9,0005.HK,hsbc etfs econ wweq  - net asset values
1,0005.HK,hsbc etfs eur sus   - net asset values
19,0005.HK,hsbc etfs msci mex   - net asset values
22,0005.HK,hsbc etfs msci chin  - net asset values
38,0005.HK,"hsbc resumes cutting around 35,000 jobs -memo"
39,0005.HK,hsbc says freeze on 'vast majority' of external recruitment remains in place - memo
37,0005.HK,"1-hsbc revives plan to axe 35,000 jobs, memo shows"
36,0005.HK,hsbc etfs plc  - net asset values
35,0005.HK,hsbc etfs ftse 100  - net asset values
34,0005.HK,hsbc etfs eurostxx50  - net asset values
33,0005.HK,hsbc etfs ftse 250  - net asset values
20,0005.HK,hsbc etfs msci can   - net asset values
31,0005.HK,hsbc etfs mscieurope  - net asset values
29,0005.HK,hsbc etfs mscibrazl  - net asset values
28,0005.HK,hsbc etfs msci pacx  - net asset values
27,0005.HK,hsbc etfs msci emfe  - net asset values
26,0005.HK,hsbc etfs msci japn  - net asset values
25,0005.HK,hsbc etfs msci usa   - net asset values
24,0005.HK,hsbc etfs msci trky  - net asset values
23,0005.HK,hsbc etfs msciwrld   - net asset values
30,0005.HK,hsbc etfs sp500   - net asset values
0,0005.HK,hsbc etfs usa sus   - net asset values
