,undlName,text
4,0175.HK,geely automobile intends to apply placement net proceeds for business development  working capital
5,0175.HK,"geely automobile - placing to produce net proceeds of hk6,447 mln"
6,0175.HK,geely automobile - placing price to be hk10.8share
7,0175.HK,geely automobile s  - to place 600 mln shares
2,0175.HK,hk-listed geely automobile skids on discounted 832 mln share sale plan
0,0175.HK,1-china's geely raises 836 mln from share sale
0,0388.HK,"media-china's jd.com, netease said to win hkex approval for listings - bloomberg news"
