,undlName,text
4,SCIL.SI,"sembcorp industries  -  refers to announcement dated april 22, 2020 in relation to gasoil supply and storage agreement with hin leong trading"
2,SCIL.SI,sembcorp industries- possibility that gasoil reserves designated for sembcorp cogen may face competing claims by 1more third parties
3,SCIL.SI,"sembcorp - sembcorp cogen got court order to restrain universal terminal from moving, removing or disposing gasoil reserves claimed by sembcorp cogen"
1,SCIL.SI,sembcorp industries updates on gasoil supply and storage agreement with hin leong trading
0,SCIL.SI,sembcorp says unit begins proceedings against hin leong affiliate over gasoil deal
