,undlName,text
1,0914.HK,anhui xinli finance 600318.ss says anhui conch cement 600585.ss plans to unload up to 1 stake in the company within three months
9,0728.HK,u.s. agencies recommend revoking ability of china telecom to operate in u.s.
10,0728.HK,u.s. justice department recommends revoking china telecom authorization to provide international telecommunications services to and from the united states -- statement
2,0728.HK,4-u.s. agencies back revoking ability of china telecom to operate in u.s.
6,0728.HK,china's foreign ministry says china firmly against u.s. action against china telecom
5,0728.HK,rpt-china's foreign ministry says china firmly against u.s. action against china telecom
4,0728.HK,china firmly against u.s. action against china telecom - foreign ministry
3,0728.HK,1-china firmly opposes u.s. action against china telecom - foreign ministry
3,9988.HK,alibaba-backed autonomous driving startup autox says launches robotaxi operation center in shanghai
