,undlName,text
3,KPLM.SI,keppel corporation  announces keppel asia infrastructure fund to raise aggregate capital commitments of us570 mln
6,SGXL.SI,singapore exchange  - to close central depository customer service centre from 18 april 2020 until further notice
2,SGXL.SI,singapore exchange  - members continue to be able to meet their financial obligations to sgx
3,SGXL.SI,singapore exchange-stepped up offsite monitoring of members' financial and liquidity condition due to market volatility; doing more stress tests
