,undlName,text
8,CATL.SI,capitaland  - secures s400 mln in green loans to catalyse greening of global portfolio by 2030
1,CATL.SI,capitaland  - capitaland will avoid over 700 tonnes of carbon emissions each year
4,CATL.SI,capitaland  - s250 mln 3-year multi-currency green loan provided by hongkong and shanghai banking corporation  - singapore branch
5,CATL.SI,"capitaland-proceeds from green loans will be used for financing or refinancing of development, investment  acquisition of certified green buildings"
6,CATL.SI,capitaland  - s150 mln four-year green loan is provided by dbs bank
7,CATL.SI,capitaland  - capitaland corporate offices in singapore to adopt 100 renewable energy by end 2020
