,undlName,text
0,0788.HK,hk-listed trigiant jumps as unit bags 30 of china tower procurement project
5,2007.HK,country garden -  conversion price of bonds issued by smart insight international  to be adjusted from hk11.90 to hk11.43 per share
0,2007.HK,"country garden-conversion price of bonds issued by smart insight international, currently hk11.90share will be adjusted to hk11.43share"
1,2007.HK,country garden-adjustments to conversion price of hk7.83 bln 4.50 convertible bonds due 2023 issued by smart insight international
3,0005.HK,"hsbc hsba.l: jefferies cuts to hold from buy, cuts target price to 400p from 790p"
3,0823.HK,"link real estate investment trust-fy loss before transactions hk17,122 mln vs profit of hk20,329 mln"
7,0823.HK,link real estate investment trust - estimate mainland china retail portfolio should maintain positive reversion in 20202021
8,0823.HK,link real estate investment trust - estimate hong kong retail rental to remain stable in 20202021
2,0823.HK,link reit-return on investment of some projects completed in year lower than expected
4,0823.HK,link reit- remain positive for medium-term outlook for car parks
5,0823.HK,link reit-fy dpu of hk287.19 cents
6,0823.HK,"link reit-fy net property income hk8,220 mln vs hk7,689 mln"
0,9988.HK,alibaba baba.n : hsbc raises target price to  256 from  243
