,undlName,text
0,0175.HK,3-geely automobile steps toward mainland china listing; hk shares surge
2,0175.HK,hk-listed geely automobile hits near 1-month high on shanghai listing plan
1,2319.HK,"china mengniu dairy - bonds exchangeable into 613.9 mln shares, assuming they are fully exchanged into cmd shares at hk1.2625share"
2,2319.HK,china mengniu dairy co - entered subscription agreement in connection with issue of bonds in principal amount of us100.0 mln
0,2319.HK,china mengniu dairy co entered subscription agreement
