,undlName,text
3,0700.HK,australia stock exchange release from aumake internati au8.ax: alipay  tencent buy-now-pay-later services
1,2318.HK,moody's assigns first-time baa2 issuer rating to ping an real estate; outlook stable
20,0005.HK,hsbc s plc announces pricing terms of its tender offers for five series of notes
1,0388.HK,hkex - netease shares to be included in designated securities eligible for short selling on 11 june
2,0388.HK,hkex - to offer investors more options on netease hk shares on june 11 debut
