,undlName,text
2,3988.HK,rpt-1-boc may compensate up to 20 of investments in oil products -sources
5,0005.HK,hsbc files singapore court application to put zenrock commodities trading under judicial management - sources
4,0005.HK,hsbc seeks judicial management for zenrock commodities trading - sources
2,0005.HK,2-hsbc seeks judicial management for singapore's zenrock commodities - sources
2,0016.HK,moody's assigns a1 to sun hung kai properties' usd mtn drawdown
5,9988.HK,perennial real estate - share purchase deal with alibaba unit for sale of 50 stake in perennial shenton 
4,9988.HK,perennial real estate - also entered deal with alibaba unit for transfer of 50 of shareholders' loan outstanding to alibaba singapore
