,undlName,text
11,WLIL.SI,singapore exchange regulation issues query regarding trading activity of wilmar international 
7,WLIL.SI,wilmar international  - yihai kerry arawana submitted updated prospectus to shenzhen stock exchange for review  approval
0,WLIL.SI,"wilmar international- other than posting of yihai kerry arawana's updated prospectus, co not aware of any information which might explain trading"
1,WLIL.SI,wilmar international - response to sgx queries on unusual trading activity
2,YAZG.SI,yangzijiang shipbuilding - secures new orders worth usd102 mln
