,undlName,text
1,KPLM.SI,keppel corporation -  material impairments recognised in its 2q 2020 pertaining mainly to offshore  marine business
2,KPLM.SI,keppel corporation- carried out a review to assess assumptions used in assessment of carrying values of certain assets of group
3,KPLM.SI,keppel corporation  -  there will be material impairments recognised in its 2q 2020 financial results
4,KPLM.SI,keppel corporation  - group's financial results will be significantly and adversely impacted for 2q 2020 and 1h 2020.
