,undlName,text
7,CATL.SI,capitaland- capitaland anticipates group's total hy patmi will be materially  adversely impacted
8,CATL.SI,capitaland-any revaluation gains or losses on investment properties will only be recorded in fy results
9,CATL.SI,"capitaland  -  for six months ended 30 june, operating patmi is expected to reduce by 25 to 35 from 361.3 mln recorded in h1 of 2019"
10,CATL.SI,capitaland -  operating patmi is expected to reduce by 25 to 35 for hy
4,CATL.SI,capitaland says operating patmi is expected to reduce by 25 to 35 for hy
