,undlName,text
2,0700.HK,sogou eyes best day ever on take-private offer from shareholder tencent
0,0700.HK,ant ipo will clear tencents low bar on governance
1,0656.HK,moody's downgrades fosun to ba3; changes outlook to negative
3,2007.HK,country garden s- proposes to issue us senior notes to institutional investors
2,2007.HK,country garden s proposes to issue us senior notes to institutional investors
1,2007.HK,fitch rates country garden's proposed usd notes 'bbb-'
12,0005.HK,hsbc aims to double number of senior black staff by 2025- memo
9,0005.HK,"hsbc hsba.l-esg unit will form part of a new strategic solutions group, within bank's capital financing  investment banking coverage division"
10,0005.HK,"hsbc launches esg unit, new strategic solutions group"
