,undlName,text
7,CATL.SI,capitaland - q1 operating performance in 4 core markets and other countries affected by restrictions implemented by each country due to covid-19
1,CATL.SI,capitaland -  secured s400 mln in two bilateral green loans in april 2020
2,CATL.SI,capitaland -  expect retail  lodging businesses to continue facing headwinds in q2 2020
3,CATL.SI,"capitaland -  business activities affected due to covid-19, will have adverse impact on financial performance for year"
4,CATL.SI,"capitaland - toward end of q1, china ended its nationwide lockdown; says trading results have begun to recover"
0,CATL.SI,capitaland says business activities affected due to covid-19
