,undlName,text
3,0941.HK,trigiant group- unit made first successful bid for centralised procurement project of china mobile limited
0,0941.HK,trigiant group says unit made first successful bid for centralised procurement project of china mobile
8,9988.HK,starbucks expands chinese order services to multiple alibaba apps
2,9988.HK,alibaba says starbucks introduces mobile order and pay feature starbucks now to multiple alibaba platforms including taobao
1,9988.HK,alibaba says extended service will give starbucks multiple channels to tap into alibaba's digital economy user base of nearly 1 billion
