,undlName,text
1,1093.HK,cspc pharma hits 4-week high on anti-tumour product approval for trials
9,1800.HK,fitch affirms china communications construction company at 'a-'stable
8,0941.HK,china mobile -  notified by china mobile communications group that it entered collaborative framework agreement
0,0941.HK,"china mobile  - under agreement, parties to jointly own and have right to use 700mhz 5g wireless network assets"
1,0941.HK,china mobile- to provide transmission carrier network services to cbn between 5g base stations in 700mhz band  cbn's connection points
2,0941.HK,china mobile - duration of collaboration effective from date of 5g collaborative framework agreement to 31 dec 2031
3,0941.HK,china mobile - parties to also jointly explore model innovations  carry out in- depth collaboration
4,0941.HK,"china mobile-under agreement, parties to jointly determine network construction plans"
5,0941.HK,china mobile -  parties to jointly invest in construction of 700mhz 5g wireless network at ratio of 1:1
6,0941.HK,china mobile - china mobile shall provide transmission carrier network services to china broadcasting network corp
7,0941.HK,china mobile -  framework deal on 5g co-construction  sharing with china broadcasting network corp
6,2007.HK,country garden s announces issue of us544 mln 5.40 senior notes due 2025
12,0005.HK,moody's rates baa1 and aaa.mx hsbc mxico's certificados burstiles; stable outlook
8,0005.HK,hsbc sees double-digit wealth asset growth in asia by 2023
6,0762.HK,china unicom hong kong  -  net addition of fixed-line broadband subscribers for april 0.310 mln
2,0762.HK,china unicom hong kong -  april aggregate number of fixed-line broadband subscribers 85.141 mln
3,0762.HK,china unicom hong kong  - april net addition of fixed-line broadband subscribers for month 0.310 mln
4,0762.HK,china unicom hong kong  -  net addition of 4g subscribers for april 1.811 mln
5,0762.HK,china unicom hong kong -  april aggregate number of mobile billing subscribers 309.285 mln
0,0762.HK,corrected-china unicom hong kong  - april net addition of 4g subscribers 1.811 mln not 2.567 mln
2,9988.HK,alibaba group   baba.n to invest 10 billion yuan into aiot ecosystem around tmall genie smart speaker unit
1,9988.HK,alibaba group  to invest 10 billion yuan in artificial intelligent system
0,9988.HK,1-alibaba to invest 1.4 bln in ai system for smart speakers
