,undlName,text
0,OCBC.SI,"ocbc to hire over 3,000 people in singapore this year"
1,OCBC.SI,"oversea-chinese banking corp- about 2,100 people to be hired for full-time roles across group"
0,UOBH.SI,australia stock exchange release from united overseas uos.ax: change of director's interest notices
10,KPLM.SI,keppel corporation -venture has received initial capital commitments of about us93 mln from venture partner
11,KPLM.SI,keppel corporation -venture has an initial target size of us200 mln
14,CMLT.SI,capitaland mall trust management - capitaland mall trust will be granting rental waivers for june 20201 to qualifying small  medium enterprises
11,CMLT.SI,capitaland mall trust management says capitaland mall trust will be granting rental waivers
8,CATL.SI,"capitaland - as at end may, about 88 stores in capitaland malls across china have resumed operations"
1,CATL.SI,capitaland says about 88 stores in its malls across china resumed ops at may-end
