,undlName,text
0,0883.HK,suchuang gas corp says co and cnooc gas and power group entered cooperation framework agreement
4,1918.HK,sunac china s announces issuance of us500 mln 6.65 senior notes due 2024
2,1918.HK,sunac china s  announces issuance of us500 mln 6.65 senior notes due 2024
0,1099.HK,china's sinopharm to test potential covid-19 vaccine in brazil
3,0101.HK,hang lung properties  -  performance in second half of 2020 will depend on retail sales recovery on mainland
4,0101.HK,hang lung properties  - mainland properties expected to fully recover by end of q3
5,0101.HK,"hang lung properties  -  hy net loss attributable hk2,537 mln vs profit of hk3,516 mln"
6,0101.HK,hang lung properties  - declared an interim dividend of hk17 cents per share for 2020
7,0101.HK,"hang lung properties  -  hy revenue hk4,184 mln vs hk4,204 mln"
