,undlName,text
0,0175.HK,hk shares of geely automobile hits 5-week high on china listing update
0,2382.HK,"hk-listed components maker sunny optical hits 3-12 mth high, daiwa raises pt"
1,1810.HK,media-smartphone maker xiaomi says growing anti-china sentiment has not affected business - cnbc
5,9988.HK,alibaba's baba.n lazada set to announce new group ceo as early as on friday-soures
3,9988.HK,alibaba's lazada to announce chun li as new ceo -sources
1,9988.HK,2-alibaba's lazada appoints chun li as new ceo
