,undlName,text
0,OCBC.SI,ocbc makes first loan using singapore's new sora benchmark
1,SIAL.SI,singapore airlines - about s0.2 bln proceeds from rights issue applied towards funding operating expenses
2,SIAL.SI,singapore airlines - about s2 bln proceeds from rights issue applied towards repayment of bridge loan facility with dbs bank
14,CATL.SI,capitaland  - ocbc bank  capitaland inked loan facility agreement referencing singapore overnight rate average
13,CATL.SI,capitaland -capitaland to get s150 mln three-year corporate loan from ocbc bank
12,CATL.SI,capitaland-s150 mln loan is part of s300 mln sustainability-linked loan extended by ocbc bank
