,undlName,text
4,KPLM.SI,keppel corporation  -  secures fpso contracts worth about s73 mln from modec
3,KPLM.SI,pdf 1: keppel corporation limited keppel secures fpso contracts worth about s73 million from modec
0,CMLT.SI,pdf 1: capitaland mall trust management limited proposed merger of capitaland mall trust and capitaland commercial trust dealings disclosure
2,GENS.SI,genting's gens.si resorts world sentosa says  has reduced salaries of management by up to 30 over past few months
3,GENS.SI,genting-owned singapore's resorts world sentosa says  to implement a one-off workforce reduction
