,undlName,text
2,0857.HK,petrochina's dalian refinery to resume operations in late-june
0,2318.HK,shenzhen ping an innovation capital investment reduces stake in quakesafe technologies to 5.0
3,2007.HK,country garden s co - proposes to issue us senior notes to institutional investors
2,2007.HK,fitch rates country garden's proposed usd notes 'bbb-'
2,9988.HK,alibaba-backed xpeng motor says got production license for fully-owned zhaoqing car plant
1,9988.HK,alibaba-backed xpeng gets production license for zhaoqing car plant
0,9988.HK,media-china to offer 1.4 bln of interest-free loans to smes via alibaba-backed mybank-people's daily
