,undlName,text
10,SGXL.SI,singapore exchange  - total securities market turnover value higher by 124 year-on-year in march to s48.2 bln
4,SGXL.SI,singapore exchange  - total equity and debt fundraising on sgx reached s11 bln during march
5,SGXL.SI,singapore exchange  - march petrochemicals derivatives volume up 136 y-o-y due to heightened volatility in oil market
6,SGXL.SI,"singapore exchange  - in march, market turnover value of exchange-traded funds increased more than eight times y-o-y to s1.2 bln"
7,SGXL.SI,singapore exchange  - march total commodities derivatives volume up 76 y-o-y to 3.1 mln contracts
8,SGXL.SI,"singapore exchange  - in march, securities daily average value sdav rose 114 y-o-y to s2.2 bln"
9,SGXL.SI,singapore exchange  - total derivatives traded volume rose 41 y-o-y in march to about 33 mln contracts
